Feature,Coefficient,Importance_Abs
temporal_stability_score,64.67977432473658,64.67977432473658
growth_rate,55.208834313011394,55.208834313011394
Seasonality_Index,-21.58749589611347,21.58749589611347
avg_order_frequency,-20.312306053799066,20.312306053799066
monthly_avg_sales,1.157396226278827,1.157396226278827
sales_std,0.7435342726114632,0.7435342726114632
outlet_density,0.3940521090254263,0.3940521090254263
inactive_days,-0.20963875290166964,0.20963875290166964
poi_score,0.043062741811481814,0.043062741811481814
historical_max_sales,-0.027807620174810182,0.027807620174810182
market_saturation_index,0.006434505239859749,0.006434505239859749
